doctor_id,source_file,comments_count_in_file,reviews_count,rating_score_5,specialty,name
305350,ارتوپدی_doctor_142.json,0,,,فلوشیپ ارتوپدی ستون فقرات,دکتر احمدرضا میربلوک
305350,مغز_و_اعصاب_doctor_452.json,0,,,فلوشیپ ارتوپدی ستون فقرات,دکتر احمدرضا میربلوک
263705,ارتوپدی_doctor_123.json,229,380.0,4.7,متخصص ارتوپدی,دکتر فرزام مکرمی
263705,مغز_و_اعصاب_doctor_430.json,229,380.0,4.7,متخصص ارتوپدی,دکتر فرزام مکرمی
331387,ارتوپدی_doctor_162.json,111,163.0,4.7,فلوشیپ جراحی ستون فقرات و متخصص ارتوپدی,دکتر محمدرضا شاکری
331387,مغز_و_اعصاب_doctor_474.json,111,163.0,4.7,فلوشیپ جراحی ستون فقرات و متخصص ارتوپدی,دکتر محمدرضا شاکری
228021,ارتوپدی_doctor_152.json,73,110.0,4.3,فلوشیپ شانه ، زانو ، لگن,مرکز فوق تخصصی تهران ارتوپدی
228021,مغز_و_اعصاب_doctor_459.json,73,110.0,4.3,فلوشیپ شانه ، زانو ، لگن,مرکز فوق تخصصی تهران ارتوپدی
305568,ارتوپدی_doctor_158.json,232,523.0,4.0,فلوشیپ ارتوپدی و جراحی ستون فقرات,دکتر بهامین عطار
305568,مغز_و_اعصاب_doctor_470.json,232,523.0,4.0,فلوشیپ ارتوپدی و جراحی ستون فقرات,دکتر بهامین عطار
